textID,text,selected_text,sentiment
886ac94d0b,"_ I`m good thanks! Did you have a good drive? Careful with your blackberry, we don`t want you getting screamed at","I`m good thanks! Did you have a good drive? Careful with your blackberry,",positive
63f9fed84e," if you want conversation, use email/mailing lists. I`m not convinced `140 chars and less` replies are conversation",I`m not convinced `140 chars and less` replies are conversation,negative
edd330a3b1, is not too hot and not to cold,is not too hot and not to cold,neutral
8b87246ca7,_A4L Hey Anne! I stayed up 2 try 2 arrange 4 some NYC Archies 2 get tix 2 the concert. Logged off @ 2.30 but only fell asleep @ 5am,_A4L Hey Anne! I stayed up 2 try 2 arrange 4 some NYC Archies 2 get tix 2 the concert. Logged off @ 2.30 but only fell asleep @ 5am,neutral
4f82a7dcd0,THE CURIOUS CASE OF BENJAMIN BUTTON!!!!! I`m so excited about this **** movie,THE CURIOUS CASE OF BENJAMIN BUTTON!!!!! I`m so excited about this **** movie,positive
b2068d79d5,"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the document is not yet complete",dirty,negative
84c12a654c,Shots suuuuck!  im done  no more vacines!,suuuuck!,negative
5dd5cf69dc,Sorry if I`m confusing anyone. I keep forgetting to . The desktop Twitterific  is not so terrific  Very different from iPhone app.,Sorry if I`m confusing anyone. I keep forgetting to . The desktop Twitterific  is not so terrific  Very different from iPhone app.,neutral
7c47bfca56,I`m awake. Anybody else awake? Wish I lived in the US since all the fun happens when I`m asleep!,since all the fun happens when I`m asleep!,positive
cca4f7b0c1, I know  haha night,I know  haha night,neutral
4f8baf372e,  LOL! Girl that video disturbed me  and I love the hk theme too cute!,LOL! Girl that video disturbed me  and I love the hk theme too cute,neutral
67564814b3,OH NO TODAYS JAY LENOS LAST SHOW!!! WE`LL MISS U MR. LENO,WE`LL MISS U MR. LENO,negative
b66e667fd5,ERRG I cant believe that i am not working at all next week i think its time to move on from Chick fil A,ERRG I cant believe th,negative
522fd74625,Visiting family in hospital = not fun,Visiting family in hospital = not fun,negative
c368ade343, And I fell asleep 10 minutes into the Saget roast.,And I fell asleep 10 minutes into the Saget roast.,neutral
90162f9656,Just took $10 off a guy who thinks he can bluff three times in a row and get away with it. Now back to showing how **** my work is,Just took $10 off a guy who thinks he can bluff three times in a row and get away with it. Now back to showing how **** my work is,negative
24f443230e,people with mustaches get super powers and mustaches. no fair.,no fair.,negative
48d9c6d53f,still sick  @ Home http://loopt.us/iArPRg.t,still sick,negative
30387f6d20,"another week, another org change discussion....","another week, another org change discussion....",neutral
714d7c7a34,On train with at least two gaggles of teenagers sitting & the commuters squished standing in the back...at least the teenagers let me sit,On train with at least two gaggles of teenagers sitting & the commuters squished standing in the back...at least the teenagers let me sit,neutral
3c4b75ec7f,Cant find my red lighter that reminds me of Amy,Cant find my red lighter that reminds me of Amy,neutral
3792c7b13e,      You`ll be missed!!  Bring me back  a keychain!,You`ll be miss,negative
7f9dbe3552,"hello new maccy, welcome to your new home","hello new maccy, welcome to your new home",neutral
33b4f870e8, dont ya know? people love the human society,people love the human society,positive
f7cfe101b8, Heh... I send dem when I get dem Jen... I was shocked I found so many these last few days... earlier in the week nothing...,shocked,negative
4191b19b71, i was at the outlets too,i was at the outlets too,neutral
d17f1c6d9f, so I tried jumping without the trampoline and its like thud* thud*  shouldn`t have eaten that cookie.  http://myloc.me/1XIz,so I tried jumping without the trampoline and its like thud* thud*  shouldn`t have eaten that cookie.  http://myloc.me/1XIz,neutral
e8247bf81c, hi Nick! I really like the serie JONAS  it`s awesome! See you soon in the concert! kisses - Marta,it`s awesome!,positive
f30a1473ad,"_esl  If in doubt, wash separately   Normal concern is something fading onto the white.","_esl  If in doubt, wash separately   Normal concern is something fading onto the white.",neutral
a691ab2555,going to bed,going to bed,neutral
a1cc1835fe,"First impression of Silverlight: sadly, based on what I saw today, it`s quite problematic","sadly, based on what I saw today, it`s quite problematic",negative
92dad66de9,Gotta go now .. i`m going to Circus .. the real Circus not Britney`s Tour  sadly ..,sadly ..,negative
1ded141930,Lula is not feeling well.  http://tinyurl.com/m8kcsq,not feeling well.,negative
a66b2a186d,today i salute all mothers and honour the feminine....and now its time for a beer,salute al,positive
e98a5c88b9, oh that sucks  Tell your DH to act like a grown up maybe? I`d be stressed too,sucks,negative
f9b6c4fe2e, Yep...sadly I only had 10 min before a meeting!,.sadly,negative
1f8294cc21,  lol he does love spahkly gold things....,lol he does love spahkly gold things..,neutral
d27cd1e6ff,"thnkn bout yesterday..best day ever!& 2day Virtus vs Treviso at da futurshow..hard game,gotta win! FORZA RAGAZZI!!!","thnkn bout yesterday..best day ever!& 2day Virtus vs Treviso at da futurshow..hard game,gotta win! FORZA RAGAZZI!!!",neutral
124e448e00,aaaaaw i want to live in the USA,aaaaaw i want to live in the USA,neutral
bbd9008d6d, in bucher`s class?! i cried too!,i cried too!,negative
ef52ec7e13,My mouth hurts. Wish I could cut my head off,hurts.,negative
2a781b7114,cleaning and packing,cleaning and packing,neutral
e6a8675ba5,_WOCKEEZ i wish i can go. But i`m not in US,i wish i can go. But i`m not in US,neutral
42a4413514,  aaaawww  would u like an alcoholic beverage of your choice?,aaaawww  would u like an alcoholic beverage of your choice,neutral
185e6acbd4,Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.,play time,positive
ab8073400f," Sorry your day was so bad   Gettin the drink on, good plan!","Sorry your day was so bad   Gettin the drink on, good plan",neutral
2d9eea5d51,__Cullen_ lol  emmett wont do a dance off again,__Cullen_ lol  emmett wont do a dance off again,neutral
f4df0a8b35,Thinks that my friends lifes go around with what they boyfriends do and then they have not time for us girls,not time for us girls,negative
92ff7f2485," LOL it`s not the army it`s starfleet, rules are meant to be broken to get the job done. That`s why he gets the medal",rules are meant to be broken to get the job done.,negative
16a0513509,Shower day.,Shower day.,neutral
3710731ceb,gotta shower then go apply for more jobs  hopefully no creepy old men will be working again today *shudder*,gotta shower then go apply for more jobs  hopefully no creepy old men will be working again today *shudder*,neutral
eebc64ac7c,"Has so much to blog, but has no time to","Has so much to blog, but has no time to",neutral
5b061067cd,"Supernatural was mega good  Now I`m off to bed, urgh long day of school tomorrow x","Supernatural was mega good  Now I`m off to bed, urgh long day of school tomorrow x",neutral
52d8a83d34," Trust me, that`s a GOOD thing. Your 40-something self will thank you.",GOOD,positive
400008ab2d," yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time","yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time",neutral
47eac3338e,Why is it that 'shipping & handleing' are soooo expensive??? It is more than 50% of my entire order! Not ordering yet.,soooo expensive???,negative
5c6c767fa8," come overhere then, the Dutch don`t dub  might go in an hour #BringTaraBack","come overhere then, the Dutch don`t dub  might go in an hour",neutral
7270b12184,"? today  and tomorrow at  taipei, anyone  free for drink?  http://plurk.com/p/rpgyy","today  and tomorrow at  taipei, anyone  free for drink",neutral
abd42088e9,going to see star trek with my babe  im actually excited about this hah,excited,positive
9099b71c78,I don`t want to apply for jobs!!!,I don`t want to apply for jobs!!!,neutral
77ca05c1b8,i have to go to the doctor... i don`t want to... cause there i can wait sooo long...,i have to go to the doctor... i don`t want to... cause there i can wait sooo long...,neutral
dfb74a3581,first time in weeks to see the clear blue sky,first time in weeks to see the clear blue sky,neutral
1c9de7ae19,Editing all the photos I took at my brothers soccer game. He`s got a lot of work to do as a coach.,Editing all the photos I took at my brothers soccer game. He`s got a lot of work to do as a coach.,neutral
0f963af18f,I did not twitt yesterday cause it was a very busy day but I`ll be back tomorrow  BTW I can not sleep  I`m like in zombie mode @_@,I can not sleep,negative
c844602909, Hello  ...hehe yup we sure do ...lovely to `see` you ****,..lovely,positive
81f6f611e4,will continue my dramathon! episode 14 here i come!,will continue my dramathon! episode 14 here i come!,neutral
dcd2dcb4a3,  if she sees that she will cry! lol,if she sees that she will cry! lol,negative
22cc1e2195,following  keep me updated for the latest dance scene event,following  keep me updated for the latest dance scene event,neutral
66ff857b96, 3000 then ya up with me my friend ... i type too much,3000 then ya up with me my friend ... i type too much,neutral
debbd12acd, I hear you   Any time earlier than 11am is just mean!,st mea,negative
b15dafdff1, Safe flight home to you and Jade   ****,Safe,positive
fe0abe1754,twittering after 2 days!,twittering after 2 days!,neutral
2cce06bee8, I thought every weekend was a long weekend in California,I thought every weekend was a long weekend in California,neutral
04a6326f33, It was BuckFast. Brain just went blank,Brain just went blank,negative
b5c4912b8b,Greenville Drive games just aren`t the same without the 'Baseball Guy' clown.,Greenville Drive games just aren`t the same without the 'Baseball Guy' clown.,negative
ae04977b87,i love mandy moore so much  and also angela,i love mandy moore so much  and also angela,positive
4cae343799,just made a South-Korean email pal. Happy!,Happy!,positive
413b2415a4,about to play my first game of apple to apples!!   wish me luck...,about to play my first game of apple to apples!!   wish me luck...,neutral
1027e2e7bb," I have no doubt, darlin`!  Just wish you could find a boy worthy is all!  You`re good people!",!  You`re good people,positive
927d22251d, I have a great house to sell you!   Comes complete with a riding mower!!,great,positive
162f9745bd, thought u said twitter was **** bellion?,****,negative
3f6f073671, YEAYYY! good for you,good,positive
a2b957c90e,I have a belly ache...,belly ache...,negative
35d06c1169,Probably because it wasnt a command...bet you dont understand pay out on fantasy football either  ..droids   Look out for ,Probably because it wasnt a command...bet you dont understand pay out on fantasy football either  ..droids   Look out for,neutral
693c2c6a32,"House of the Muses 4, page 28 is now live.   http://bit.ly/egVW3",Muses,positive
7a67129242,_10807 I`m watching the 4th harry potter movieee,I`m watching the 4th harry potter movieee,neutral
4c3ce4cb16, u were doing good with the replys now u fallin off sad face,u fallin off sad face,negative
c5131a93d5,"Yesterday was AWESOME ! Sunny day, best friends, good food & tons of fun - what more could you ask for ?",AWESOME,positive
59cd3e2b14,just now i know how twitter exactly work,just now i know how twitter exactly work,neutral
c608d3b656,gots a headache now,headache,negative
e70ba4df8f,Dang i didnt even remember it was my bday today,Dang,negative
b6e65f1dd0,"Played ball at the park, coached a youngster on fundamentals.. Goin home to steak and lobster.. Word up","Played ball at the park, coached a youngster on fundamentals.. Goin home to steak and lobster.. Word up",neutral
b934655779,  but then you won`t see Her hotness much either,but then you won`t see Her hotness much either,neutral
ec38c9863d,_gd whoaa kinda hard :O that one that you think will be interesting enough to tell,whoaa kinda hard :O that one that you think will be interesting enough to tell,neutral
e2946e2769,IS PHONE **** WITH TYSON,IS PHONE **** WITH TYSON,neutral
74ae8400dd,what a beautiful morning ; it`s time to get up and enjoy the sun,beautiful,positive
91e38cd36a,im @ the eye doctors & had to bring trinity with me cause my mom fell down the stairs today & broke her toe. ugh,my mom fell down the stairs today & broke her toe. ugh,negative
40ea45df5b," The Hulk, great movie  You might recognize Toronto`s Younge Street in some of the fight scenes.",great,positive
a3899db074, Lol yes she was.  I totally agree with your blog as well!,I totally agree,positive
c70c2e2336,michael scholfield is no more. He is dead. I am sorry,sorry,negative
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,miss,negative
995d809d1e,"Woke up and it`s bank holiday monday, so no college. got a text from tom via jason`s mobile earlier today, so i`m hoping they turned up.",i`m hoping they turned up.,positive
2d551fbb8b,Such a beautiful day. I just wish I had the energy to enjoy it.,beautiful day.,positive
07e2afe564," Yep, I do.","Yep, I do.",neutral
ef6552e483, I found a link on WWE.com  http://www.wwe.com/inside/industrynews/kennedyreleased stinks!,d stinks,negative
34b20a06ef,"  AWOOOOGAHHHHHH!!!! heheee hope you get some decently priced breakfast real quick, David","! heheee hope you get some decently priced breakfast real quick, David",positive
2c849043ce,Waiting in line @ tryst,Waiting in line @ tryst,neutral
877c212040," yeah, that does sound a bit bad man... i got **** exam week this week",i got **** exam week this week,negative
fc32a579fa,"_carter Gotta make the video public, dear. LOL ...can`t see it.","_carter Gotta make the video public, dear. LOL ...can`t see it.",neutral
0a635dde0f, morning miss sarah cyrus ;) WHAT`S UP?  x,morning miss sarah cyrus ;) WHAT`S UP?,neutral
45665a805b,I smashed my pinky in julia`s car door... **** my life...,**** my life...,negative
4fdc228bbe,"back at school again. almost weekend. oh wait, i gotta work from eight to four tonight","back at school again. almost weekend. oh wait, i gotta work from eight to four tonight",neutral
7dd0e2f478,wanted to go to the club...dancing;)..but now iï¿½m tired anyways i have to go to work tomorrow!,tired,negative
f294664ee8, so sad...sorry to hear that.  She was a sweet dog.,so sad.,negative
b5939b4393,Oh... I miss the Piano.,miss the Piano.,negative
6be7ac3209,speakerphone with the bestie  love that kid http://tinyurl.com/qxyc2n,bestie,positive
7bb1247eb5, my internet is being a ***** again!!! wtf. i think im gonna sleep afterward. internet is driving me crazyyy!,wtf.,negative
d164f18f71,"All right, time for happy face.",happy,positive
be8ba96aca, Hello Gorgeous GIRL! Nice new pic!  HOw are you today,Gorgeous GIRL!,positive
4956387b43,Good morning in Twitterville. Off to work I go...Chat @ all of u later,Good morning,positive
55e361033a,  It should take you back to colorado where you belong,It should take you back to colorado where you belong,neutral
44bef9a45f,_jackson already there`s none left  back to cabbage soup,_jackson already there`s none left  back to cabbage soup,neutral
001b0e9abe,she made my sister cry too hahah. bless her.  i hope she can do it again.,bless,positive
eff58ee8e1, hahaha I didn`t even notice the name - LICE,hahaha I,positive
dbf11e3d70," Im sorry  I don`t think I stick out, at least compared to what I used to look like.","Im sorry  I don`t think I stick out, at least compared to what I used to look like.",neutral
461402680c, mmm but nothing i can do. lucky ive got great friends like u to cheer me up,great,positive
cb73f98aa9,watching the office......... also comedy gold,watching the office......... also comedy gold,neutral
385d318976,"  so sorry, I just found the members preview has been sold out for awhile. It opens at Noon to the general public",o sorry,negative
669d9f0673, I`m afraid not much  I just realized the true difficulty of this design. I may cry soon. #idmfinal,I`m afraid not much  I just realized the true difficulty of this design. I may cry soon,negative
215eae817c, This was at Pitman`s down South. It just looks like business is bad all over,bad,negative
b0c6c3c7f2,plus it hurts seeing sum1 you love falling for someone else!  not even kidding im wellllllllllllll gutted. **** ****,im wellllllllllllll gutted.,negative
ca9df3b99e,There is a sadness in the air at school  but I got two awards!!,There is a sadness in the air at school  but I got two awards!!,neutral
32fa66c2aa, that`s a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  joke lang carmen,that`s a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  joke lang carmen,neutral
b4e1d922fa,:  She`s going to beamer for the rest of high school. i`m so sad. there will be no more prn journal.,i`m so sad.,negative
bc029fe804,Relaxing.,Relaxing.,positive
a9bd9a71f1,Missed the hello kitty  not enough time oh well,Missed the hello kitty,negative
85ba9e6680,time to mow the lawn.,time to mow the lawn.,neutral
6bccc53529, hey dude im finishing my lullaby  dude i saw a pic of you w/ long hair umm lets just say keep it short ha,hey dude im finishing my lullaby  dude i saw a pic of you w/ long hair umm lets just say keep it short ha,neutral
e19fed8be8,One good deed deserves another. I hope to help someone else some day,One good deed deserves another.,positive
9da71b7f1d, do you have another account here??,do you have another account here??,neutral
f56173ecde," We went not so long ago. I used to go when I was a little kid. Back then there were TONS of teeth. Now, not so many at all!","We went not so long ago. I used to go when I was a little kid. Back then there were TONS of teeth. Now, not so many at all!",neutral
cb80225be4,"I`m so sleepy now...g`night! HAPPY MOTHER`S DAY to your Mother, Mama, Ma, Mommy (whatever you call them. LoL) from Mie!",HAPPY,positive
ed3a7393b7,Got a day of painting,Got a day of painting,neutral
460e7d7701,Is actually feeling awake today,Is actually feeling awake today,neutral
fb4b29022f,Watching an episode of Friends during the lunch break,Watching an episode of Friends during the lunch break,neutral
d442f051cd,Boredom isnt any fun..Wish I had somebody to hang out with tonite..,Boredom,negative
dc88db8716,Watching **** & The City at my brothers soccer game. I have totally defited the purpose of coming.. Hehe,Watching **** & The City at my brothers soccer game. I have totally defited the purpose of coming.. Hehe,neutral
66b7d26a3b, awhhh It was so nice to see you.,so nice,positive
d4c65fd7ab,"The Wedding is over everyone has gone home, newlyweds are off to Canada and finally, there is quiet! And I`m late for work","The Wedding is over everyone has gone home, newlyweds are off to Canada and finally, there is quiet! And I`m late for work",neutral
5c5b0146ff,is new to twitter.... needs some studying here,is new to twitter.... needs some studying here,neutral
9d47870bab,"Got pulled over by a cop, got a warning",warning,negative
13a9290908," thanks.  thing is so much of it is more design-art, which I hardly ever get a go at, therefore never get much better..",thanks.,positive
a429255434,G`day  Thanx for following.,Thanx,positive
d49d68f107, Indeed I did get your song however am unable to listen.,Indeed I did get your song however am unable to listen.,neutral
2f42dff0dd,school for a bit. glad jake got the day off,glad jake got the day off,positive
c5fbcd3afa, u no there was no point pointing it out yesterday and ppl had 2 wait til midnight .... they were kinda pissed,they were kinda pissed,negative
96fd6b9b51,Just talked to Anthony Rapp. Face to face. !!!!!,Just talked to Anthony Rapp. Face to face. !!!!!,neutral
8891d08a8c, Ben and Jerry...yummmmy!!!,.yummmmy!,positive
391251bc05, it could be worse  so u usually a nite owl?,worse,negative
0c4eac0389,found none,found none,neutral
a194c3ba39,I`m a fat and sad puffyn now,fat and sad,negative
b979e7ab77,Morning everyone! Hope you have a great Sunday!!,great,positive
c9896d97e2,"@_erica Yea, its tough to keep it going. Sometimes I`m not sure its worth it.",tough,negative
a58daaab6b,Did not win Kelly Clarkson Tickets. Sorry Cecilia. Really wish I could give that to you! You so much deserve it.,Sorry Cecilia.,negative
42f06d4f04," that sucks  I seriously hope you feel better soon, you need to come over next week!!!","that sucks  I seriously hope you feel better soon, you need to come over next week!!!",neutral
53970e938f,is feeling so giddy and wanna go home.,giddy,negative
7474600877,_Cera That is so awesome  awwww.,awesome,positive
a8a31eb953,Did some REAL window shopping and i found so many things i want that just happen to be over a hundred dollars.,Did some REAL window shopping and i found so many things i want that just happen to be over a hundred dollars.,neutral
be8ed7a7da," Kewl, I only got my iPhone and gotta hope it lasts all weekend  Only got a shuffle, might bring that anyways... See ya 8am!",hope,positive
2dffb2ea44,"Happy sunday, beautiful day in London... off to meet Chergo for breakfast  ****",Happy,positive
686ae7c9d5,Chillen with Csla.. Waiting to start.. Watchin pacquiao rerun..,Chillen with Csla.. Waiting to start.. Watchin pacquiao rerun..,neutral
610835129a,"Wee laddie`s been SO upset for about 2 hours. Tried soothing him in bed, nursing, etc. Nope. Up at 3:30am for real food. Blue Clues now.","SO upset for about 2 hours. Tried soothing him in bed, nursing, etc.",negative
04011be2a2,Vote for Board of the Month May 2009 (licensed members only) http://tinyurl.com/c8uj28 Good luck everybody,Good luck,positive
6e72dda9ee,i wish i had more chicken wings,i wish i had more chicken wings,neutral
f2f889d6cd,"feeling bad for Daisy, she cries in every episode       i watch waaaaay too much tv",cries,negative
6f7127d9d7,   All this flirting going on - The ATG smiles. Yay.  ((hugs)),All this flirting going on - The ATG smiles. Yay.  ((hugs),neutral
fa319d237a,LOL OMG  replied back to me out of all ppl!! THX,THX,positive
5b6928a1ed,Playing some games before I leave for work   Work til at least 11PM tonight.,Playing some games before I leave for work   Work til at least 11PM tonight.,neutral
4e913afd6f,nursing my scratches and bumps from Festivus mud wrestling. I swear there`s still dirt in my hair but a good time was had by all,nursing my scratches and bumps from Festivus mud wrestling. I swear there`s still dirt in my hair but a good time was had by all,negative
